2019/05/01 19:05:33 Initiating coarse search
2019/05/01 19:05:33 BOUNDS: [5.1 9.2 2.3 4.1]
2019/05/01 19:05:33 Seeds: [7 7]
2019/05/01 19:05:33 open /home/sindreno/go/src/github.com/PolymerGuy/tinyOpt/_ABQSim/inputfile.txt: no such file or directory
2019/05/01 19:06:18 Initiating coarse search
2019/05/01 19:06:18 BOUNDS: [5.1 9.2 2.3 4.1]
2019/05/01 19:06:18 Seeds: [7 7]
2019/05/01 19:06:18 jTL2BobrPEJEgz9nWKPpST [5.1 2.3] 2.2584681302296303
2019/05/01 19:06:18 MB9Ljd4Dkc7s6Hy42fMDXb [5.1 2.8999999999999995] 2.078358479093695
2019/05/01 19:06:18 Hb4fWSYo6HxnetPwABC2KG [5.1 3.1999999999999993] 1.9896209895866974
2019/05/01 19:06:18 8MvQ6y5UTePSXTmK9KufAK [5.1 2.5999999999999996] 2.1680105316295504
2019/05/01 19:06:18 DYczJDmPZjHUa7pCLC4anW [5.1 3.799999999999999] 1.8154246877065612
2019/05/01 19:06:18 WVK2JLxUgeLGQ9kioTNUy6 [5.783333333333333 2.3] 1.5963695581777366
2019/05/01 19:06:18 Dv9c8MdRKkpV8QVL3KhUh3 [5.1 3.499999999999999] 1.9019260366133957
2019/05/01 19:06:18 Fr4qPvBXJxWtzFPxN5WW2M [5.1 4.099999999999999] 1.730295982470274
2019/05/01 19:06:18 2vxW9XGcD6LeraAtsjvtRY [5.783333333333333 2.8999999999999995] 1.4143977080659451
2019/05/01 19:06:18 LRdhzeJrTpyNn4pjHgpm3N [5.783333333333333 2.5999999999999996] 1.5048932097383505
2019/05/01 19:06:18 MSQNvC4BCcA77S6Sv9YNXQ [5.783333333333333 3.1999999999999993] 1.3250841730788343
2019/05/01 19:06:18 qxRBFMVjb5v2LtuttzqgjB [5.783333333333333 3.499999999999999] 1.2372085273687048
2019/05/01 19:06:18 cqfBgSPaDD9eB9uhGyeHoM [5.783333333333333 4.099999999999999] 1.0671868319621995
2019/05/01 19:06:18 Y6wEYDsoHtponqzDYfshU6 [6.466666666666667 2.3] 0.9426482291205956
2019/05/01 19:06:18 exzxRtFVum9rWCvdoRoHpT [5.783333333333333 3.799999999999999] 1.1511001298068564
2019/05/01 19:06:18 eziUPjf5enPhZxhR5ibCbf [6.466666666666667 2.5999999999999996] 0.8485427804086088
2019/05/01 19:06:18 WyRLcUfU8sDyMJdc7RyNA8 [6.466666666666667 2.8999999999999995] 0.7554942755993937
2019/05/01 19:06:18 ykgPCpMHEbbCAgDoCXtLEJ [6.466666666666667 3.1999999999999993] 0.6639473341053167
2019/05/01 19:06:18 gWCaYLEXZt8E4JDLkiyUNQ [6.466666666666667 3.499999999999999] 0.5746199459462069
2019/05/01 19:06:18 P93NY3TzG5PX4C2D88vVSG [6.466666666666667 3.799999999999999] 0.48873060486628744
2019/05/01 19:06:19 HLNWB4aRgJXgKnxKdsBPLH [6.466666666666667 4.099999999999999] 0.4084540457793854
2019/05/01 19:06:19 PS88pFCzXqBeFREVdG8scJ [7.15 2.5999999999999996] 0.2435911213251749
2019/05/01 19:06:19 Ja5y4szNXkLHj7kupnrfRk [7.15 2.3] 0.3381399443777933
2019/05/01 19:06:19 hwc9u4SFBXfUpwJwUMRfuc [7.15 2.8999999999999995] 0.153106167530494
2019/05/01 19:06:19 VtQfesx6XSQSTwUPvF5dsD [7.15 3.1999999999999993] 0.08156739421450215
2019/05/01 19:06:19 djdYsPfjhesBVtc7J7Dyhd [7.15 3.499999999999999] 0.09471969760936687
2019/05/01 19:06:19 tdBsXy6ejUyscYoPKmR3YF [7.15 3.799999999999999] 0.17434805502114728
2019/05/01 19:06:19 6sHMsyDDmAa4KyKZ38ETs7 [7.15 4.099999999999999] 0.26632598301481425
2019/05/01 19:06:19 WCQJs64WT8KKW7vZSa7PdS [7.833333333333334 2.3] 0.47385277250735697
2019/05/01 19:06:19 c4HRhWQafGTPG7XoePTaYR [7.833333333333334 2.5999999999999996] 0.5305869756996271
2019/05/01 19:06:19 f7jjRd2MraT7RnpCe7zPT [7.833333333333334 2.8999999999999995] 0.5978430021405782
2019/05/01 19:06:19 7BhvboRqz6qaXG7auy7kd7 [7.833333333333334 3.1999999999999993] 0.6724711044309368
2019/05/01 19:06:19 ixuGmfGWTbMeHp2LxsG4rm [7.833333333333334 3.499999999999999] 0.752280579033197
2019/05/01 19:06:19 XZyJMuq9mqAHbkDLWFSzrh [7.833333333333334 4.099999999999999] 0.9219902049783263
2019/05/01 19:06:19 8RNFHshXrSTh6Bq2rmDAmJ [7.833333333333334 3.799999999999999] 0.8357884131781326
2019/05/01 19:06:19 HHp2VjZCPYMoKEhzA6Huu5 [8.516666666666667 2.3] 1.0999063963415978
2019/05/01 19:06:19 TfKjh5f3oLDnyu2mFhFwiC [8.516666666666667 2.5999999999999996] 1.173544600359201
2019/05/01 19:06:19 FBSaW5dWWyuZbmLKXQJhsG [8.516666666666667 2.8999999999999995] 1.2503317257672961
2019/05/01 19:06:19 Coarse search gave:
2019/05/01 19:06:19 6JWfBqiNrxXZ3DiGJphqZ4 [7.15 3.1999999999999993] 0.08156739421450215
2019/05/01 19:06:19 Hu2TvinDpza8fC89DVz9NC [7.2 3.1999999999999993] 0.09708242147627807
2019/05/01 19:06:19 QzBxx5Vi5niLca79v4DffP [7.15 3.249999999999999] 0.07558310015489705
2019/05/01 19:06:19 iw2pKn2EF4ywJ4iAHL9QGe [7.1000000000000005 3.249999999999999] 0.07925537643288627
2019/05/01 19:06:20 rm3PfpugLFeqaUsoQoPVDU [7.1 3.299999999999999] 0.06710027736234912
2019/05/01 19:06:20 kuSwuD9KpcUVrVe5BwKzT7 [7.074999999999999 3.3499999999999988] 0.06272617640627721
2019/05/01 19:06:20 5oBqTEtQj6a5Hw9unLUPLE [7.124999999999997 3.3499999999999988] 0.0612467564315972
2019/05/01 19:06:20 S4Sk7vWFEzZL8y2gCT8atm [7.137499999999996 3.3999999999999986] 0.06892321052486747
2019/05/01 19:06:20 u3zX55CypZ3F3PNTwKwfbj [7.049999999999995 3.4499999999999984] 0.04636237626861461
2019/05/01 19:06:20 tzhA8QjHdUtxtEboJGM4Sn [6.999999999999993 3.549999999999998] 0.048926904012668755
2019/05/01 19:06:20 RojRY9V4wxqLd48gpRxswa [7.0999999999999925 3.4499999999999984] 0.04850210830284699
2019/05/01 19:06:20 YQizirctKR3qj9D7ETWzGM [7.024999999999991 3.549999999999998] 0.030438545414718767
2019/05/01 19:06:20 cho2vZ83kmNyhtKaLEynDF [6.974999999999987 3.6499999999999977] 0.03921653299122834
2019/05/01 19:06:21 yJvVqsxf95DiC8f2u7AhvZ [6.9749999999999925 3.549999999999998] 0.07096678654798877
2019/05/01 19:06:21 smt5sHVzpX9bc4bxH3SVjM [7.0687499999999925 3.4749999999999983] 0.0367845292192465
2019/05/01 19:06:21 Lvm5NczcCPhnToZs7VEFgc [7.043749999999987 3.5749999999999984] 0.02156325515178076
2019/05/01 19:06:21 8WFoLsZ5Xf5xZeNuxRpbiP [7.040624999999983 3.6374999999999984] 0.023985307397454803
2019/05/01 19:06:21 dJWKinBoimhynxpzYEzbAF [6.999999999999984 3.649999999999998] 0.016308972359216897
2019/05/01 19:06:21 Xs2AwDxKq2BVbLcCjfUvLF [6.96562499999998 3.737499999999998] 0.023520771339286456
2019/05/01 19:06:21 aPYPuQnroAgMoDJ8L2WWwd [7.01874999999998 3.674999999999998] 0.011831292821564365
2019/05/01 19:06:21 ESKkgimCDtZynSVBdcPYhF [7.015624999999975 3.737499999999998] 0.02645303484932877
2019/05/01 19:06:21 sExgzZ6tqmLzKwrCrAPENW [6.974999999999978 3.7499999999999973] 0.012971837726683129
2019/05/01 19:06:22 WApm8oqfMBtcFArKmerr9S [6.9937499999999755 3.7749999999999972] 0.01945379050627668
2019/05/01 19:06:22 c7XMpGqzTsdy4wQsZGtLP8 [6.998437499999982 3.6812499999999977] 0.007466296726142102
2019/05/01 19:06:22 W4evHGa7pa56VRmZQCDMZW [7.042187499999985 3.6062499999999984] 0.02099397081888037
2019/05/01 19:06:22 eUHsXpGksAtvyXxoMD9m6K [6.99179687499998 3.7140624999999976] 0.004588495882258136
2019/05/01 19:06:22 3yHYmewUZiZkZn8i3waXg7 [6.971484374999982 3.7203124999999977] 0.022142608795787822
2019/05/01 19:06:22 UebHxB9xJVHSkxGYqG85E7 [7.006933593749981 3.686328124999998] 0.0036221821807026888
2019/05/01 19:06:22 52YEq7z8CZfCu5Yr8onNfA [7.00029296874998 3.7191406249999988] 0.006490591668353545
2019/05/01 19:06:22 fvJniJRYAs7LyBZkB6MVCJ [6.99982910156248 3.7096679687499985] 0.003011262224333878
2019/05/01 19:06:22 3ySgNduP2poXRKCDapAEjd [7.014965820312482 3.6819335937499997] 0.009849564173185535
2019/05/01 19:06:22 yurbeTAKWkpkE9HQkfrgWm [6.9975891113281055 3.706030273437498] 0.0011683058538327876
2019/05/01 19:06:23 WTesLf9rsyuRWthRWaRosH [6.990484619140606 3.7293701171874996] 0.004872527392862942
2019/05/01 19:06:23 fQ6rSW4zLQrVArcmSCJrom [7.002821350097637 3.6970886230468736] 0.001969617729052984
2019/05/01 19:06:23 nwLChS6uNMYNoWbxxSCCae [7.000581359863264 3.6934509277343737] 0.001672005702651777
2019/05/01 19:06:23 nxdZQUctZnGG6vwYcFKVy3 [6.995349121093735 3.7023925781249982] 0.0038511428849368817
2019/05/01 19:06:23 nxtWJUxHXriphGXvLaGbSC [7.000953292846662 3.6984146118164047] 0.0005413398592382084
2019/05/01 19:06:23 xJeVcttCNUJQ8TXWXSsGuE [6.997961044311507 3.710993957519529] 0.002118116014362791
2019/05/01 19:06:23 XTTFTEsAJg8ZHi7WkjofW3 [6.999926280975325 3.6978366851806626] 0.0007685680632188821
2019/05/01 19:06:23 uxh7xT864vvYGJ2e8XLGu9 [7.003290462493885 3.690221023559569] 0.001648998015129187
2019/05/01 19:06:23 oDAcgRsxiEv76D3gowum65 [6.99901444911955 3.702077960968016] 0.0005000105111894841
2019/05/01 19:06:24 UrcMCV9euXfH7CVfWwzYbi [7.000041460990891 3.702655887603758] 0.0009012853918153867
2019/05/01 19:06:24 CG5ufskngPsvBm2LgDJZE8 [6.999955075979217 3.699041485786436] 0.00035100503799798935
2019/05/01 19:06:24 opWEomKL26nGX3rmnw7eGP [6.998016232252111 3.702704834938047] 0.001239035599609608
2019/05/01 19:06:24 UbXFx7V5fhzJEKisiaH57G [7.000219027698024 3.699487167596815] 0.00010721589387773707
2019/05/01 19:06:24 Fine search gave:
2019/05/01 19:11:13 Initiating coarse search
2019/05/01 19:11:13 BOUNDS: [5.1 9.2 2.3 4.1]
2019/05/01 19:11:13 Seeds: [7 7]
2019/05/01 19:11:13 DDH5YVeVX3cr48SFkamecT [5.1 2.3] 2.2584681302296303
2019/05/01 19:11:13 aWeBvzCQrotmpAFbecvCYf [5.1 2.5999999999999996] 2.1680105316295504
2019/05/01 19:11:13 Qd6uBbY25fUvcASLd6gkZm [5.1 3.1999999999999993] 1.9896209895866974
2019/05/01 19:11:13 XCaz9m3z8j2wZPKrq3vuqL [5.1 2.8999999999999995] 2.078358479093695
2019/05/01 19:11:13 YNwnkjDfrokJ6ia9ndGsdX [5.1 3.499999999999999] 1.9019260366133957
2019/05/01 19:11:13 krMd7hGJU7xq82CCqbzXDa [5.1 3.799999999999999] 1.8154246877065612
2019/05/01 19:11:13 GA8DCyrztqfwreYkiQAVtM [5.1 4.099999999999999] 1.730295982470274
2019/05/01 19:11:13 7SrSc8xJsoSR9Xo8QUek3c [5.783333333333333 2.3] 1.5963695581777366
2019/05/01 19:11:13 V8iQSRjdbrtVWYPSubRRzE [5.783333333333333 2.5999999999999996] 1.5048932097383505
2019/05/01 19:11:13 8CtTwThhjRxuh8CYue5cwY [5.783333333333333 3.1999999999999993] 1.3250841730788343
2019/05/01 19:11:13 AWFZdjC6QAdM5bjTEJMpjN [5.783333333333333 2.8999999999999995] 1.4143977080659451
2019/05/01 19:11:13 zcS4qfDVNDimJyA6ZfmrUk [5.783333333333333 3.499999999999999] 1.2372085273687048
2019/05/01 19:11:13 FUWsYxLdcMyTFUJ9jWSHHB [5.783333333333333 3.799999999999999] 1.1511001298068564
2019/05/01 19:11:13 TRcF6WxuMWLkFgqNwxKRWP [6.466666666666667 2.3] 0.9426482291205956
2019/05/01 19:11:13 PGEpMcfSbgefu2LBaUJWkF [5.783333333333333 4.099999999999999] 1.0671868319621995
2019/05/01 19:11:13 NmS9PcK2oA2VYm6bEjYGyY [6.466666666666667 2.5999999999999996] 0.8485427804086088
2019/05/01 19:11:13 ZXbrMAvi7nVRLnxukqp448 [6.466666666666667 2.8999999999999995] 0.7554942755993937
2019/05/01 19:11:13 o7vhbKybNP4JJgzqPGY3NK [6.466666666666667 3.1999999999999993] 0.6639473341053167
2019/05/01 19:11:13 JDfuwZDZD5FoSKdZJT4NfY [6.466666666666667 3.499999999999999] 0.5746199459462069
2019/05/01 19:11:13 Frko4NWy9Sn3GGMqZRqkAo [6.466666666666667 3.799999999999999] 0.48873060486628744
2019/05/01 19:11:13 kFfmgeTwWUggPrtTZrgszT [6.466666666666667 4.099999999999999] 0.4084540457793854
2019/05/01 19:11:13 NiC6pfk6pLr8aRrHq3aTe6 [7.15 2.3] 0.3381399443777933
2019/05/01 19:11:13 rhipTByadkB7NaER5vJLEW [7.15 2.5999999999999996] 0.2435911213251749
2019/05/01 19:11:13 ZFUoYgEwcCzA4sNwtrrgcK [7.15 2.8999999999999995] 0.153106167530494
2019/05/01 19:11:13 9CjrPtfVvmxoT6vyhgpnJW [7.15 3.1999999999999993] 0.08156739421450215
2019/05/01 19:11:13 xqnMpw2WyDTwREGMWKVvBc [7.15 3.499999999999999] 0.09471969760936687
2019/05/01 19:11:13 FnYSF3ppt9CAwzuHcYQkzd [7.15 3.799999999999999] 0.17434805502114728
2019/05/01 19:11:13 pMujF8vqtkinWUwWwQySY5 [7.15 4.099999999999999] 0.26632598301481425
2019/05/01 19:11:14 zFsTWUki4gcX5nRf8LNXxV [7.833333333333334 2.3] 0.47385277250735697
2019/05/01 19:11:14 xodiw7NELbCgWjXukdExre [7.833333333333334 2.5999999999999996] 0.5305869756996271
2019/05/01 19:11:14 UerxUMhWsLH5skD6w7CRVD [7.833333333333334 2.8999999999999995] 0.5978430021405782
2019/05/01 19:11:14 HDnocJS6hEKSgLUCSukgXY [7.833333333333334 3.1999999999999993] 0.6724711044309368
2019/05/01 19:11:14 cAVAXVhGkMkgAEf3KsZFf9 [7.833333333333334 3.499999999999999] 0.752280579033197
2019/05/01 19:11:14 c92xLY66ZXonQLbgiCiRRQ [7.833333333333334 3.799999999999999] 0.8357884131781326
2019/05/01 19:11:14 pm4PeYPhHT9x8uvhdXhaQf [7.833333333333334 4.099999999999999] 0.9219902049783263
2019/05/01 19:11:14 t3F29niJcnpsfWxucWwswE [8.516666666666667 2.3] 1.0999063963415978
2019/05/01 19:11:14 XttPE7xWVykFNLrUFHfbcn [8.516666666666667 2.5999999999999996] 1.173544600359201
2019/05/01 19:11:14 LJoMhaLasAXe8XQbSvbr2d [8.516666666666667 2.8999999999999995] 1.2503317257672961
2019/05/01 19:11:14 Coarse search gave:
2019/05/01 19:11:14 uW7PbCzswh7MKDPmaycF5o [7.15 3.1999999999999993] 0.08156739421450215
2019/05/01 19:11:14 BSNzGP7Mvav3tdBcWte8un [7.2 3.1999999999999993] 0.09708242147627807
2019/05/01 19:11:14 GfqiLnnibApQTfcGbgAWHJ [7.15 3.249999999999999] 0.07558310015489705
2019/05/01 19:11:14 yu9ekrAJYcHddkUdKVURPo [7.1000000000000005 3.249999999999999] 0.07925537643288627
2019/05/01 19:11:14 mZCoFcQ88pFXqoUDoL2pMd [7.1 3.299999999999999] 0.06710027736234912
2019/05/01 19:11:14 2hMMMhxQS5AP2PqmZGE8oJ [7.074999999999999 3.3499999999999988] 0.06272617640627721
2019/05/01 19:11:15 bKpVe86BdVGPEeBaxrzCTF [7.124999999999997 3.3499999999999988] 0.0612467564315972
2019/05/01 19:11:15 h3K93xnuKrHL24r27ajpD4 [7.137499999999996 3.3999999999999986] 0.06892321052486747
2019/05/01 19:11:15 tUpBKDWDcA8iGpr6B7tmKA [7.049999999999995 3.4499999999999984] 0.04636237626861461
